Taxpayer_ID,Age,Gender,Region,Marital_Status,Number_of_Dependants,Annual_Gross_Income (KES),Total_Tax_Paid (KES),Source_of_Income_Raw,Business_Sector,Tax_Compliance_Score,Compliance_Window_Deviation,Effective_Tax_Rate
A553035110X,50.0,Male,Nairobi,,6,921965.5245620827,242201.27108954522,Rental,Retail/Wholesale,5,9,26.270100631429415
A134126396X,75.0,Male,Nairobi,Married,2,370828.2072931204,23380.066374150814,Business (Sole Proprietor),Service (Consultancy),2,1,6.304824151543059
A131994523X,39.0,Female,Nakuru,Single,6,515825.94304931647,54203.19772883009,Business (Sole Proprietor),Service (Consultancy),2,3,10.508040252571767
A200604502X,66.0,Female,Nairobi,Married,0,1726226.548021033,362785.16103326046,Employment (PAYE),Manufacturing,4,0,21.016080505143535
A334760738X,76.0,Male,Nairobi,Married,0,433537.9410246616,54667.609623650744,Employment (PAYE),Retail/Wholesale,4,2,12.609648303086122
A349817734X,59.0,Male,Rural_Uplands,Married,7,2698673.5586997196,680586.489200826,Informal_Sector,Retail/Wholesale,4,4,25.219296606172243
A642621108X,,Other,Nakuru,Married,0,1052725.869701706,165931.28720623723,Employment (PAYE),Service (Consultancy),3,2,15.762060378857651
A746412689X,32.0,Male,Nairobi,Single,5,122372.06002678818,7715.3431953097115,Employment (PAYE),Tech/IT,2,16,6.304824151543059
A128492780X,79.0,Male,Nakuru,Married,6,1866773.5279819616,294241.97061704786,Employment (PAYE),Tech/IT,3,2,15.762060378857647
A702632297X,79.0,Male,Machakos,Married,4,398634.01980668626,50266.34791407781,Informal_Sector,Manufacturing,4,1,12.609648303086122
A313500298X,64.0,Male,Nairobi,Married,7,148446.5792789463,23398.239456296305,Business (Sole Proprietor),Tech/IT,5,3,15.762060378857651
A868820204X,79.0,Male,Nairobi,Single,2,407411.30966509937,51373.133295766136,Dividends/Interest,Retail/Wholesale,4,1,12.609648303086118
A797808098X,68.0,Female,Rural_SemiArid,Divorced/Widowed,4,1423302.2196760522,74780.58507965351,Farming,Agriculture/Farming,1,1,5.254020126285884
A853041955X,72.0,,Nairobi,Single,6,531026.7318177948,139501.2568283255,Farming,Retail/Wholesale,5,7,26.270100631429415
A685126461X,,Male,Nairobi,Single,0,4129179.3840027167,1301687.495315701,Business (Sole Proprietor),Retail/Wholesale,5,7,31.524120757715295
A550455977X,,Female,Kiambu,Married,3,1369280.3075918676,143884.52589229197,Employment (PAYE),Finance,2,3,10.508040252571767
A336696312X,68.0,Male,Machakos,Married,0,588151.619599505,92704.81340050313,Employment (PAYE),Retail/Wholesale,3,5,15.762060378857647
A582334538X,24.0,Female,Nairobi,Married,4,57578.11783972083,1815.099539781321,Business (Sole Proprietor),Service (Consultancy),1,22,3.1524120757715304
A732719211X,38.0,Female,Nairobi,Married,0,204925.3876085423,32300.46332646651,Employment (PAYE),Service (Consultancy),5,3,15.762060378857647
A398704996X,56.0,Male,Nairobi,Married,6,298789.9836106693,28257.27457361554,Business (Sole Proprietor),Tech/IT,3,1,9.457236227314588
A969119330X,35.0,Female,Rural_SemiArid,Married,0,762949.5990750218,120256.57646645729,Business (Sole Proprietor),Service (Consultancy),3,5,15.762060378857647
A106977991X,21.0,Male,Nairobi,Married,4,698017.5759756002,36673.98392677089,Business (Sole Proprietor),Unknown,1,6,5.254020126285884
A914763202X,77.0,Female,Mombasa,Single,4,346040.3325560605,10908.617230537213,Employment (PAYE),Service (Consultancy),1,7,3.1524120757715304
A965241839X,,Male,Rural_SemiArid,Married,6,321426.7225576104,40530.77926665106,Employment (PAYE),Manufacturing,4,9,12.609648303086122
A271432881X,26.0,Female,Nairobi,Married,7,790709.0413543988,166176.04869248916,Rental,Unknown,4,7,21.016080505143535
A849621470X,,Female,Rural_SemiArid,Single,7,74022.22475004593,11667.42775887595,Employment (PAYE),Manufacturing,5,5,15.762060378857647
A553778756X,19.0,Male,Rural_SemiArid,,3,3413585.3830604632,1076102.7783236988,Rental,Tech/IT,5,5,31.524120757715302
A465341213X,77.0,Female,Rural_Uplands,Married,4,12447.183759576677,1961.9326196518393,Business (Sole Proprietor),Tech/IT,5,4,15.762060378857647
A398362082X,61.0,Other,Nairobi,Single,6,2381197.8640566347,600521.3521162807,Informal_Sector,Service (Consultancy),4,1,25.219296606172236
A266944844X,25.0,Female,Nakuru,Married,7,250752.5078982135,39523.7616964162,Farming,Unknown,5,0,15.762060378857647
A331191390X,64.0,Male,Machakos,Divorced/Widowed,7,1207267.04367935,317150.26726464817,Business (Sole Proprietor),Retail/Wholesale,5,1,26.270100631429415
A919795579X,52.0,Female,Rural_SemiArid,Single,3,463128.87933947536,58398.92287473192,Business (Sole Proprietor),Unknown,4,6,12.609648303086122
A461415646X,53.0,Male,Nairobi,Single,1,450922.8846381391,56859.789871000095,Employment (PAYE),Tech/IT,4,2,12.609648303086122
A209747451X,67.0,Male,Machakos,Married,6,616233.7988160523,161885.23907385723,Employment (PAYE),Unknown,5,3,26.270100631429415
A199585092X,21.0,Male,Nairobi,,1,903093.5567592018,237243.58615659745,Rental,Retail/Wholesale,5,13,26.270100631429415
A507943839X,19.0,Male,Nairobi,,4,163857.71849861104,15496.411515101803,Business (Sole Proprietor),Unknown,3,8,9.45723622731459
A203848421X,23.0,Female,Kiambu,Married,7,1267045.9124597085,133141.6944998314,Business (Sole Proprietor),Retail/Wholesale,2,0,10.508040252571767
A485451171X,71.0,Male,Machakos,Married,0,52748.681967699464,6651.42328064031,Employment (PAYE),Finance,4,6,12.609648303086122
A469319644X,21.0,Female,Kiambu,Married,2,266200.2542391338,16783.457920737936,Farming,Service (Consultancy),2,3,6.304824151543061
A748245888X,,Male,Mombasa,Single,0,940300.5962850843,197614.330305618,Employment (PAYE),Manufacturing,4,1,21.016080505143535
A384027113X,80.0,Male,Rural_SemiArid,Single,4,1193649.9663261026,188143.8284045343,Farming,Manufacturing,3,2,15.762060378857647
A966647391X,35.0,Male,Kiambu,Married,3,535621.6277466397,56283.33624509701,Business (Sole Proprietor),Retail/Wholesale,2,2,10.508040252571767
A146654552X,61.0,Male,Nakuru,Married,6,148733.49259022073,14066.077743392616,Employment (PAYE),Tech/IT,3,1,9.45723622731459
A883543540X,51.0,Male,Kiambu,Married,0,1029992.0765981304,54115.99100361569,Employment (PAYE),Retail/Wholesale,1,3,5.254020126285884
A593303705X,,Male,Kiambu,Divorced/Widowed,1,98316.84369176121,6198.704106113,Employment (PAYE),Tech/IT,2,24,6.304824151543061
A675770529X,31.0,Female,Nakuru,,7,3712119.6684017424,468085.2347751464,Informal_Sector,Finance,2,8,12.609648303086122
A234031070X,65.0,Male,Rural_SemiArid,,5,236332.18402452237,14900.328616247278,Farming,Retail/Wholesale,2,0,6.304824151543061
A506448196X,32.0,Male,Mombasa,Married,7,26650.453829301016,840.1321247628014,Business (Sole Proprietor),Tech/IT,1,4,3.1524120757715304
A184611066X,79.0,Male,Machakos,Married,4,44710.99832943058,1409.4749105349765,Business (Sole Proprietor),Manufacturing,1,4,3.1524120757715295
A692749116X,57.0,Female,Nairobi,Married,7,286491.87502748397,27094.213393412054,Business (Sole Proprietor),Retail/Wholesale,3,1,9.45723622731459
A414797776X,70.0,Female,Nairobi,Married,0,330955.07067007845,10433.067613181754,Business (Sole Proprietor),Unknown,1,1,3.1524120757715304
A990566476X,41.0,Male,Mombasa,Single,5,5149885.438425854,1298764.8835946897,Business (Sole Proprietor),Tech/IT,4,7,25.219296606172236
A774996843X,43.0,,Nairobi,Married,0,56514.413657307334,8907.836003422155,Employment (PAYE),Retail/Wholesale,5,3,15.762060378857647
A764130526X,77.0,Male,Nairobi,Married,3,284700.57671446056,17949.87072027569,Farming,Retail/Wholesale,2,2,6.304824151543061
A488302652X,58.0,,Mombasa,Single,3,54768.357559912525,5179.5729522612355,Rental,Tech/IT,3,5,9.457236227314588
A719927151X,46.0,Male,Nairobi,Married,3,128157.81590021808,12120.187393450562,Employment (PAYE),Service (Consultancy),3,23,9.45723622731459
A306468299X,32.0,,Nairobi,Married,5,3354985.6296132505,634577.8327699656,Farming,Retail/Wholesale,3,4,18.91447245462918
A856528252X,62.0,Male,Mombasa,Single,2,48800.491585605,4615.177769341443,Business (Sole Proprietor),Retail/Wholesale,3,4,9.457236227314588
A174684276X,82.0,Male,Mombasa,Married,5,647299.0235927997,68018.44195363541,Employment (PAYE),Tech/IT,2,3,10.508040252571767
A149203558X,26.0,Male,Rural_SemiArid,,4,483768.14831622015,45751.09657877054,Employment (PAYE),Tech/IT,3,2,9.457236227314588
A810026086X,18.0,Female,Nakuru,Single,4,258782.40707736506,16315.77570135819,Rental,Retail/Wholesale,2,6,6.304824151543061
A344703907X,25.0,Male,Kiambu,,1,584875.8811845031,92188.4895336771,Informal_Sector,Manufacturing,3,2,15.762060378857647
A930075810X,80.0,Female,Rural_SemiArid,,1,47097.228109062045,4454.096118791205,Farming,Unknown,3,4,9.457236227314588
A410727955X,28.0,Male,Machakos,Divorced/Widowed,4,3218686.0064501753,1014662.4634850372,Rental,Unknown,5,12,31.524120757715295
A185675980X,25.0,,Nairobi,Married,0,4815104.1951798275,1214335.4088786435,Employment (PAYE),Unknown,4,6,25.219296606172243
A349957310X,,Female,Nairobi,Married,4,287983.09130239626,9078.413746396891,Employment (PAYE),Unknown,1,1,3.1524120757715304
A208449460X,52.0,Male,Nakuru,Single,6,10167014.809903849,641012.4052257776,Employment (PAYE),Retail/Wholesale,1,1,6.304824151543061
A508157429X,50.0,Female,Mombasa,Single,2,147481.51172597954,4649.224985180184,Informal_Sector,Retail/Wholesale,1,10,3.1524120757715304
A398471886X,22.0,Female,Machakos,Married,1,489259.3474679371,61693.883005680946,Informal_Sector,Service (Consultancy),4,2,12.609648303086118
A586845604X,58.0,Male,Kisumu,Single,1,2298652.3988966304,289851.98321131733,Employment (PAYE),Manufacturing,2,4,12.609648303086118
A782560971X,45.0,Female,Nakuru,Married,6,134792.69837903153,4249.221300958885,Dividends/Interest,Unknown,1,1,3.1524120757715295
A995619255X,24.0,Male,Rural_SemiArid,Married,7,33781.7640822185,1064.9404103365055,Business (Sole Proprietor),Retail/Wholesale,1,5,3.1524120757715304
A491735568X,29.0,Female,Mombasa,Divorced/Widowed,6,23918.90433378557,754.022428610496,Employment (PAYE),Service (Consultancy),1,18,3.1524120757715295
A274648506X,51.0,Male,Nairobi,Single,5,5904585.709343341,744547.4917024781,Business (Sole Proprietor),Manufacturing,2,3,12.609648303086118
A497478786X,50.0,Female,Rural_Uplands,Married,6,121353.49649421961,15302.249111419038,Farming,Service (Consultancy),4,5,12.609648303086122
A481469012X,65.0,Male,Nairobi,Married,7,203088.03924560075,25608.68749450377,Employment (PAYE),Service (Consultancy),4,9,12.609648303086122
A324956459X,40.0,Male,Machakos,Single,1,50556.85798058814,3187.5209922214462,Informal_Sector,Retail/Wholesale,2,15,6.304824151543061
A819595113X,,Female,Rural_SemiArid,Married,4,1112932.4304144187,292368.46942968096,Employment (PAYE),Unknown,5,1,26.270100631429415
A386665249X,54.0,Female,Nakuru,Married,1,83088.38595122218,7857.86493686995,Employment (PAYE),Service (Consultancy),3,4,9.457236227314588
A853573823X,61.0,Female,Mombasa,Married,6,128425.65537660675,8097.01173696176,Employment (PAYE),Tech/IT,2,10,6.304824151543059
A833953718X,52.0,Female,Kiambu,Single,6,420534.0075166747,39770.89450704482,Farming,Retail/Wholesale,3,13,9.457236227314588
A795822698X,82.0,Female,Kiambu,Single,7,54389.75615465557,6858.356964008205,Business (Sole Proprietor),Tech/IT,4,2,12.609648303086122
A176667861X,64.0,Male,Kiambu,Married,6,205279.2642530004,19413.7449460996,Dividends/Interest,Retail/Wholesale,3,1,9.457236227314587
A754049436X,20.0,Male,Nakuru,Single,7,2198562.694753126,138615.511765611,Business (Sole Proprietor),Retail/Wholesale,1,2,6.304824151543061
A781802744X,18.0,Male,Machakos,Single,1,510109.96355632297,80403.84045431636,Business (Sole Proprietor),Retail/Wholesale,3,2,15.762060378857647
A283758720X,22.0,Male,Nakuru,Single,6,326378.6334359666,30866.398359520525,Farming,Retail/Wholesale,3,2,9.45723622731459
A673528321X,31.0,Male,Nairobi,Single,5,370384.54813869135,46704.188889263685,Business (Sole Proprietor),Tech/IT,4,4,12.609648303086118
A882893941X,44.0,Female,Kiambu,,4,149686.3458311648,23593.652208813866,Farming,Service (Consultancy),5,2,15.762060378857651
A362863730X,26.0,Male,Machakos,Single,0,5358681.315937776,1013566.301434411,Employment (PAYE),Unknown,3,13,18.914472454629177
A275452091X,32.0,Female,Kiambu,Married,7,79361.15566779234,10007.16261897331,Business (Sole Proprietor),Retail/Wholesale,4,2,12.609648303086122
A596348124X,,Male,Mombasa,Married,6,368202.83337057394,11607.270582506899,Rental,Retail/Wholesale,1,1,3.1524120757715304
A507437181X,68.0,Male,Machakos,Married,1,318869.8642629606,30156.27632106557,Informal_Sector,Unknown,3,1,9.457236227314588
A389854268X,80.0,Male,Nakuru,Married,1,1218515.36373969,192063.12735830684,Employment (PAYE),Retail/Wholesale,3,10,15.762060378857647
A787194506X,69.0,Female,Kiambu,Married,6,1403894.7665940365,73760.9135887249,Business (Sole Proprietor),Retail/Wholesale,1,1,5.254020126285884
A838908273X,21.0,Female,Rural_Uplands,Married,1,255754.12002643503,16124.8475279931,Business (Sole Proprietor),Retail/Wholesale,2,4,6.304824151543059
A698020238X,40.0,Female,Nairobi,Married,6,414985.86553025484,65410.32268860378,Employment (PAYE),Unknown,5,5,15.762060378857647
A335809993X,32.0,Male,Rural_SemiArid,Married,2,439240.3914329734,13846.66714119919,Employment (PAYE),Unknown,1,0,3.1524120757715304
A835098955X,60.0,Female,Nairobi,Married,4,8882.048680528318,279.99877518088056,Employment (PAYE),Service (Consultancy),1,1,3.1524120757715304
A448195935X,46.0,Male,Nairobi,Married,6,24748.387052650734,780.1711420064396,Farming,Manufacturing,1,2,3.1524120757715304
A924970419X,,Male,Rural_Uplands,Married,1,108272.28209711252,6826.376991085583,Rental,Tech/IT,2,18,6.304824151543059
A933223566X,30.0,Male,Nairobi,Married,2,115566.56756016723,3643.134431321375,Employment (PAYE),Unknown,1,2,3.1524120757715295
A160062915X,49.0,Male,Kisumu,,0,44403.62401521831,2799.570411071858,Farming,Retail/Wholesale,2,2,6.304824151543059
A345938494X,76.0,Male,Rural_Uplands,Single,0,826019.662798385,216996.19665252967,Employment (PAYE),Unknown,5,1,26.270100631429415
A982403818X,45.0,Female,Rural_Uplands,Single,7,269191.31972497527,16972.039339877738,Business (Sole Proprietor),Retail/Wholesale,2,1,6.304824151543061
A134467368X,83.0,Female,Rural_SemiArid,Single,5,194455.41343420921,30650.179675457326,Informal_Sector,Service (Consultancy),5,1,15.762060378857651
A964411347X,59.0,Male,Nairobi,,6,40772.66205909777,6426.611611822575,Farming,Retail/Wholesale,5,1,15.762060378857647
A438715135X,,Male,Kisumu,Married,5,250993.59594694115,39561.76214022287,Employment (PAYE),Finance,5,1,15.762060378857647
A530747414X,79.0,Male,Nairobi,,5,5218.5395706890295,658.0394864212668,Rental,Manufacturing,4,1,12.609648303086118
A387484583X,74.0,Male,Kiambu,Married,2,210147.62392261118,33123.595367416674,Business (Sole Proprietor),Tech/IT,5,2,15.762060378857647
A171069472X,23.0,Female,Rural_Uplands,Single,0,295013.23632439564,18600.065774029303,Farming,Manufacturing,2,7,6.304824151543061
A326541099X,45.0,Male,Kiambu,Divorced/Widowed,5,385722.11369659135,48638.20196437015,Business (Sole Proprietor),Manufacturing,4,1,12.609648303086122
A709004943X,45.0,Female,Mombasa,Married,3,25689.7499007734,809.8467781074853,Dividends/Interest,Agriculture/Farming,1,1,3.1524120757715295
A870854579X,,Male,Mombasa,Single,5,375955.13935848745,11851.655212620642,Employment (PAYE),Retail/Wholesale,1,2,3.1524120757715304
A437882805X,47.0,Female,Nakuru,Married,0,56266.414746020164,5321.247759171697,Business (Sole Proprietor),Service (Consultancy),3,3,9.457236227314588
A328306011X,79.0,Male,Rural_SemiArid,Married,7,79323.93983719338,12503.087292027138,Business (Sole Proprietor),Retail/Wholesale,5,1,15.762060378857651
A803771909X,79.0,Female,Nairobi,,3,787719.293405918,124160.79064255164,Business (Sole Proprietor),Service (Consultancy),3,22,15.762060378857647
A636045484X,18.0,Male,Mombasa,Single,7,5505017.929267545,1735408.499756179,Rental,Finance,5,5,31.524120757715295
A524806516X,44.0,Female,Rural_Uplands,Married,7,289826.61336329544,45682.64579232094,Informal_Sector,Manufacturing,5,7,15.762060378857647
A790256940X,79.0,Male,Kiambu,Married,2,78775.46047384763,4966.654257444403,Dividends/Interest,Finance,2,3,6.304824151543061
A592688426X,20.0,Male,Nairobi,Married,6,356113.8176599646,22452.349982807464,Employment (PAYE),Service (Consultancy),2,11,6.304824151543061
A253407200X,44.0,Female,Mombasa,Married,6,1097498.1477697506,57662.77356943748,Farming,Manufacturing,1,1,5.254020126285884
A384412919X,26.0,Female,Nairobi,Married,3,681121.7489461667,143145.09509656802,Employment (PAYE),Service (Consultancy),4,2,21.016080505143535
A249926919X,79.0,Female,Nairobi,Married,0,16430818.541337157,1035934.2156904401,Business (Sole Proprietor),Unknown,1,1,6.304824151543059
A364814270X,,Female,Rural_Uplands,Single,1,91765.67962011058,14464.161828790897,Informal_Sector,Service (Consultancy),5,2,15.762060378857647
A899925830X,68.0,Female,Mombasa,Married,3,391737.48757189786,49396.71945416202,Employment (PAYE),Manufacturing,4,13,12.609648303086122
A702764446X,61.0,Male,Rural_SemiArid,Single,0,2739749.16931249,518209.1019555427,Farming,Agriculture/Farming,3,25,18.914472454629177
A678722458X,41.0,Male,Rural_Uplands,,5,2493602.1148044397,786086.141887894,Dividends/Interest,Unknown,5,7,31.524120757715295
A382116655X,,Male,Nakuru,Married,7,14398.55466748955,907.8035521490117,Business (Sole Proprietor),Service (Consultancy),2,2,6.304824151543059
A902099969X,49.0,Female,Nairobi,Single,1,266989.2221104296,8416.600478817654,Employment (PAYE),Service (Consultancy),1,8,3.1524120757715295
A727694430X,69.0,Male,Kiambu,Married,2,2487481.0969577595,156831.30896606104,Business (Sole Proprietor),Service (Consultancy),1,12,6.304824151543059
A560027313X,79.0,Male,Nairobi,Married,6,20500595.359191492,3877579.4622492623,Informal_Sector,Service (Consultancy),3,9,18.914472454629177
A726563708X,75.0,Female,Rural_SemiArid,Single,2,771192.9075744024,40518.6305764484,Employment (PAYE),Manufacturing,1,2,5.254020126285884
A528853029X,69.0,Female,Nairobi,Married,4,154539.50824951063,4871.722119895512,Business (Sole Proprietor),Unknown,1,2,3.1524120757715295
A488690725X,29.0,Male,Nairobi,Single,2,59053.27439665325,7446.410212874377,Employment (PAYE),Retail/Wholesale,4,1,12.609648303086122
A335493870X,56.0,Male,Mombasa,Married,4,7482780.730612986,2358880.833553489,Employment (PAYE),Tech/IT,5,2,31.524120757715302
A248532577X,19.0,Male,Nairobi,Single,2,800596.5207264775,168254.00931725468,Dividends/Interest,Unknown,4,1,21.016080505143535
A647099690X,20.0,Male,Nairobi,Married,2,75199.48110178269,9482.390092680507,Employment (PAYE),Retail/Wholesale,4,3,12.609648303086118
A629908599X,73.0,,Mombasa,Married,2,197850.19857932674,6237.053551952648,Informal_Sector,Service (Consultancy),1,3,3.1524120757715304
A197613238X,76.0,Female,Nairobi,Married,4,427316.30334896845,67353.85374256692,Business (Sole Proprietor),Unknown,5,1,15.762060378857651
A911514914X,19.0,Female,Nairobi,Single,5,606651.6278577703,31873.598624088194,Business (Sole Proprietor),Unknown,1,40,5.254020126285884
A150590821X,19.0,Female,Kiambu,Married,4,69603.63094288035,2194.1932670188094,Employment (PAYE),Tech/IT,1,4,3.1524120757715295
A217734861X,71.0,Male,Kisumu,Married,7,106800.12466808977,13467.120107903644,Informal_Sector,Retail/Wholesale,4,10,12.609648303086122
A264112119X,18.0,Female,Mombasa,,3,22484.875371291277,1417.6318528535298,Employment (PAYE),Retail/Wholesale,2,9,6.304824151543061
A773715057X,36.0,Male,Kiambu,Married,0,1276513.937852166,134136.59841919455,Business (Sole Proprietor),Tech/IT,2,19,10.508040252571767
A271779360X,19.0,Male,Mombasa,Single,0,160744.64032180654,20269.333810640568,Employment (PAYE),Retail/Wholesale,4,1,12.609648303086122
A950488739X,70.0,Female,Kiambu,Married,5,540085.356571969,113504.77333365651,Business (Sole Proprietor),Retail/Wholesale,4,2,21.016080505143535
A830661141X,61.0,Male,Rural_SemiArid,Married,0,2265685.1437154748,142847.46413889632,Business (Sole Proprietor),Agriculture/Farming,1,0,6.304824151543059
A553290810X,49.0,Male,Nairobi,Married,2,373175.9165411213,58820.21328456697,Rental,Agriculture/Farming,5,1,15.762060378857647
A740389325X,49.0,Female,Nakuru,Married,5,226509.98030164573,7140.527971856793,Employment (PAYE),Unknown,1,1,3.1524120757715295
A168212356X,72.0,Male,Rural_Uplands,Married,0,358929.839536849,11314.947605107003,Business (Sole Proprietor),Retail/Wholesale,1,2,3.1524120757715304
A513140753X,73.0,Female,Rural_Uplands,Single,4,295017.63281070336,27900.514447139773,Dividends/Interest,Retail/Wholesale,3,2,9.45723622731459
A509760584X,34.0,Male,Nairobi,Married,3,1739742.1956900666,91406.40510704405,Business (Sole Proprietor),Unknown,1,65,5.254020126285884
A739830322X,55.0,Female,Nairobi,Married,1,427734.3465842876,67419.74596972765,Employment (PAYE),Finance,5,4,15.762060378857647
A602564736X,41.0,Male,Kisumu,Married,3,118586.56398431463,3738.3371632840667,Employment (PAYE),Unknown,1,7,3.1524120757715304
A668132202X,28.0,Male,Nairobi,Married,0,1292092.5389507175,271547.20818683587,Employment (PAYE),Unknown,4,3,21.016080505143535
A369953851X,33.0,Female,Rural_Uplands,Single,5,1699299.2778237057,446407.6303134408,Employment (PAYE),Unknown,5,1,26.270100631429415
A694021782X,76.0,Male,Kisumu,Married,6,36044.301560301275,4545.059660057774,Employment (PAYE),Tech/IT,4,4,12.609648303086122
A112327652X,20.0,Male,Kisumu,Single,0,2674240.110598412,505818.4090897815,Business (Sole Proprietor),Service (Consultancy),3,1,18.91447245462918
A830448745X,,Male,Nairobi,Single,4,463734.58841011307,43856.47549370942,Employment (PAYE),Tech/IT,3,2,9.45723622731459
A873869166X,76.0,Male,Kisumu,Married,3,410407.12147903163,64688.61828665663,Business (Sole Proprietor),Manufacturing,5,5,15.762060378857651
A222998994X,53.0,Male,Nakuru,Single,6,1214614.0711607565,127632.13551097298,Informal_Sector,Service (Consultancy),2,2,10.508040252571767
A831980933X,36.0,Male,Rural_Uplands,Single,4,114638.09137355712,7227.73007178803,Informal_Sector,Agriculture/Farming,2,3,6.304824151543059
A676567501X,84.0,Female,Nairobi,Married,7,1122699.679850369,294934.3356854278,Farming,Retail/Wholesale,5,1,26.270100631429415
A906248900X,36.0,Male,Nairobi,,7,152487.3308817312,24035.14516368692,Employment (PAYE),Agriculture/Farming,5,1,15.762060378857651
A386501362X,37.0,Male,Kiambu,Single,4,29365.446717810573,3702.8795537460596,Employment (PAYE),Retail/Wholesale,4,4,12.609648303086122
A925276600X,69.0,Male,Nairobi,Single,1,60075.992491349214,5681.5285258106705,Farming,Service (Consultancy),3,8,9.45723622731459
A788227492X,50.0,Male,Mombasa,Single,4,628149.0445357548,165015.38611490518,Employment (PAYE),Unknown,5,8,26.270100631429415
A465260635X,57.0,Female,Rural_SemiArid,Married,6,64977.57504265323,2048.3609221881084,Employment (PAYE),Retail/Wholesale,1,2,3.1524120757715304
A219778234X,56.0,Male,Kiambu,Married,4,3002975.489070511,757329.2955993436,Business (Sole Proprietor),Tech/IT,4,0,25.219296606172243
A415143362X,,Female,Rural_Uplands,Married,1,1597459.60760437,251792.54787846326,Employment (PAYE),Retail/Wholesale,3,3,15.762060378857647
A566825638X,28.0,Male,Nairobi,Married,7,1983074.0496712767,416764.4387555256,Farming,Unknown,4,10,21.016080505143535
A269820594X,74.0,Female,Nairobi,Single,2,323569.06704968086,30600.69102940625,Dividends/Interest,Unknown,3,1,9.457236227314588
A587182120X,67.0,Female,Nairobi,Single,6,395059.8004396186,12453.912855577444,Dividends/Interest,Unknown,1,16,3.1524120757715304
A103484630X,,Female,Nairobi,,2,44776.20856988726,4234.591818089318,Farming,Unknown,3,0,9.457236227314588
A875340444X,,Female,Rural_SemiArid,Married,6,1195022.1338617231,251146.81370666384,Employment (PAYE),Finance,4,4,21.016080505143535
A872751234X,59.0,Female,Nairobi,Married,5,474373.46085656574,44862.618792893125,Rental,Retail/Wholesale,3,6,9.457236227314588
A382811832X,24.0,Male,Nakuru,Married,1,628416.4973345438,132068.51698743092,Employment (PAYE),Service (Consultancy),4,12,21.016080505143535
A637500247X,33.0,Male,Kiambu,Single,5,3376896.725529021,1064537.0016191024,Rental,Service (Consultancy),5,4,31.524120757715302
A918150683X,77.0,,Rural_SemiArid,Single,5,108126.32776634482,3408.5874135945587,Employment (PAYE),Tech/IT,1,2,3.1524120757715295
A291825997X,19.0,Male,Nairobi,Married,7,222078.82717273245,28003.35906210001,Rental,Agriculture/Farming,4,3,12.609648303086118
A645119047X,18.0,,Nairobi,Single,4,438014.10074111616,27616.018810690042,Informal_Sector,Retail/Wholesale,2,1,6.304824151543061
A214257751X,,Female,Nairobi,Married,5,65962.84393583702,4158.841315511309,Employment (PAYE),Retail/Wholesale,2,0,6.304824151543061
A771410971X,29.0,Male,Kiambu,Married,0,202521.58816824842,19152.945004380446,Employment (PAYE),Service (Consultancy),3,2,9.457236227314588
